product_name,brands,price
Cherry Almond Protein Bar,Vidoo,283.07
Spinach Pizza Rolls,Brainverse,387.01
Cinnamon Roll Dough,Brightbean,951.73
LED Flashlight,Blogtag,222.79
Chickpea Salad Deluxe,Voolith,119.15
Chocolate Fudge Ice Cream,Youtags,377.27
Oatmeal Raisin Cookies,LiveZ,810.59
Green Smoothie Mix,Photolist,830.09
Rechargeable Laptop Battery Pack,Wordpedia,275.87
Maple Bacon Potato Chips,Gigashots,905.22
Portable Laptop Table,Oba,108.54
Elegant Maxi Skirt,Shuffledrive,842.49
Tailored Dress Pants,Fadeo,219.59
Microfiber Cleaning Cloth Set,Zoomlounge,127.9
Cheese Stuffed Jalapenos,Gigabox,856.21
Cinnamon Raisin Bagels,Jabbercube,741.61
Spinach Artichoke Dip,Zazio,327.58
Acoustic Guitar,Blogspan,478.94
Art Supplies Organizer,Dynabox,545.15
Non-Toxic Crayons for Kids,Youopia,478.25
Organic Blueberries,Rhybox,377.28
Roasted Sweet Corn,Zazio,904.44
Chili Lime Seasoning,Divanoodle,341.17
Smashed Avocado with Lime,Yabox,355.4
Essential Oil Diffuser,Flashpoint,702.3
Water-Resistant Bluetooth Speaker,Quaxo,969.09
Stainless Steel Water Pitcher,Demimbu,850.0
Pet Carrier,Feedbug,539.47
Creamy Tomato Basil Soup,Dynabox,103.82
Water-Resistant Bluetooth Speaker,Jabbersphere,877.46
Bamboo Toothbrush Holder,Jabbersphere,939.36
Zesty Garlic Hummus,Jaxbean,514.98
Portable Phone Charger,Topicblab,983.88
Athletic Compression Tights,Livetube,441.3
Wireless Wi-Fi Extender,Voonder,197.8
Teriyaki Beef Strips,Yata,386.86
Travel Jewelry Case,Browsebug,394.8
Infrared Thermometer,Yombu,47.35
Maple Chipotle Glaze,Yata,161.49
Digital Photo Frame,Voonix,167.87
Over-the-Door Hooks,Zoombeat,10.75
Self-Cleaning Water Bottle,Meemm,725.33
Insulated Sport Tumbler,Tagpad,812.71
Almond Milk Yogurt,Realcube,818.73
Folding Table,Centidel,144.94
Sweet Potato Noodles,Yamia,472.18
Honey,Skipfire,136.68
Electric Nail File Kit,Flashpoint,539.97
Vegan Cheese,Tagcat,163.88
Pet Carrier Backpack,Kamba,719.54
Peach Halves (canned),Trupe,27.55
Watering Can with Nozzle,Browsebug,127.56
Granola Bars,Dabjam,165.96
Halloween Decoration Set,Omba,171.55
Breezy Off-The-Shoulder Top,Roodel,492.52
Biodegradable Phone Case,Linkbuzz,708.26
Wireless Charger,JumpXS,475.5
Dog Training Collar,Wordtune,755.51
Baby Safety Corner Guards,Izio,423.01
High-Speed HDMI Cable,Wordware,288.98
USB Flash Drive,Zava,225.56
Habanero Hot Sauce,Wordpedia,486.85
Veggie Lovers Pizza,Edgetag,736.6
Vegetarian Stuffed Peppers,Photobug,852.48
Grapes (red),Kwinu,160.17
Low-Fat Yogurt,Teklist,702.17
Portable Projector,Feedspan,46.87
Basmati Rice,Trudeo,565.85
Ramen Noodles,Leenti,47.4
Air Mattress,Quinu,724.03
Sweet Pea Hummus,Browsetype,399.31
Garlic Naan Bread,Browsezoom,841.14
Lightweight Backpacking Tent,Mydeo,841.92
Fried Rice,Meeveo,695.34
Fitbit Activity Tracker,Twitterwire,719.66
Almond Flour Brownies,Fiveclub,467.67
Flavored Rice Cakes,Tazzy,68.34
Beef Taco Skillet,Jayo,605.47
Almond Flour Bread Mix,Dabshots,790.75
Chicken Salad Kit,Edgepulse,544.21
Laptop Sleeve,Youspan,919.54
Puzzle,Dabshots,873.59
Home Brewing Starter Kit,Thoughtblab,977.53
Potato Wedge Seasoning,Yozio,824.3
Kids' Learning Tablet,Skyndu,656.45
Ice Cube Tray with Lid,Yodel,683.08
Almond Joy Snack Bars,Trupe,140.16
Pumpkin Spice Creamer,Trudoo,663.98
Photo Album,Tagcat,884.45
Chicken Broth,Skippad,789.39
Pet Travel Bed,Tavu,61.1
Granulated Sugar,Brightbean,530.2
Low-Fat Yogurt,Twiyo,489.2
Herbal Tea Infuser,Jabbersphere,8.56
Lentils,Photobug,511.34
Reflective Safety Vest,Twitterwire,132.27
Pet First Aid Kit,Twitterbeat,466.07
Pasta Sauce Mix,Oba,709.69
Smartphone Hand Grip,Viva,589.82
Portable Solar Path Lights,Jaxworks,691.38
Roasted Red Pepper Dip,Skiptube,507.91
Training Soccer Ball,Livetube,528.67
Cinnamon Spiced Almonds,Jabbertype,588.29
Air Fryer Oven,Viva,708.87
Honey Roasted Chickpeas,Trunyx,249.13
Chocolate Chip Energy Balls,Chatterbridge,738.1
Outdoor Sports Backpack,Thoughtstorm,231.21
Puffed Rice Cake,Wordware,83.43
Classic Black Trousers,Quaxo,750.99
Car Vacuum Cleaner,Tanoodle,162.88
Corn Tortillas,Pixope,165.1
Paint By Numbers Kit,Quinu,249.25
Smart Plug,Voonder,249.65
Reflective Safety Vest,Feedfish,424.77
Hot Salsa,Centimia,299.38
Emergency Preparedness Kit,Skibox,431.54
Digital Stopwatch Timer,Vidoo,19.35
Camping Lantern,Realcube,301.98
Kids' Building Blocks,Janyx,749.39
Coconut Cream Pie Mix,Nlounge,985.23
Suction Cup Hooks,Miboo,676.02
Mashed Sweet Potatoes,Twinder,866.59
Organic Brown Sugar,Photofeed,63.88
Frozen Chicken Nuggets,Mydeo,260.49
Apple Cinnamon Breakfast Muffins,Realbridge,489.21
LED Flashing Pet Collar,Skinder,99.6
Cocoa Powder,Twimm,283.09
Travel Makeup Organizer,Gabspot,122.74
Garden Vegetable Soup,Bubblebox,280.08
Herbal Tea Variety Pack,Livetube,34.22
Pet Safety Belt for Car,Vinder,56.95
Garden Hose,Youopia,107.77
Organic Coconut Yogurt,Feedmix,335.89
Whipped Cream Cheese,Skibox,938.45
Customizable Wall Calendar,Brightdog,920.6
Electronic Drum Kit,Zoomzone,856.58
Bamboo Memory Foam Pillow,Jetpulse,500.7
Baked Falafel Balls,Mydeo,191.2
Spicy BBQ Sauce,Nlounge,874.16
Classic Vanilla Fudge,BlogXS,728.98
Compact Dishwasher,Blogtag,468.63
A-Line Skirt,Devpulse,24.15
Non-Slip Yoga Socks,Topicstorm,921.82
Weighted Blanket for Adults,Dynava,336.05
Fire Roasted Salsa,Voonder,641.29
Yoga Blocks,Quimm,63.37
Popcorn Chicken,Skivee,685.87
Fettuccine Alfredo Dinner Kit,Yodo,925.56
Fleece Hoodie,Tekfly,219.4
Cooking Utensil Set,Fliptune,162.75
Portable Air Conditioner,Brainlounge,165.98
Vegan Mac & Cheese,Photofeed,110.02
Vegetable Chips,Yakijo,883.12
Lemon Lime Sparkling Water,Gabspot,403.11
Robot Vacuum Cleaner,Buzzster,785.99
Snap-On Tupperware Set,Wordtune,485.05
Puff Pastry,Demimbu,962.8
Peach Halves (canned),Skinte,191.72
Dog Collar,Yodoo,372.98
Beef Chili,Skyba,39.07
Car Windshield Sun Shade,Pixope,188.41
Fitness Tracker Watch,Twitterwire,847.49
Floral Wrap Top,Skilith,882.93
Infrared Thermometer Gun,Jabbertype,628.68
Cotton Quilted Throw Blanket,Buzzdog,117.63
Pet Nail Clipper,Trilith,879.32
Multi-Function Smartphone Holder,Kanoodle,269.67
Chipotle Seasoning Blend,Jabberstorm,870.84
Sweet Potatoes,Tekfly,725.71
High-Quality Yoga Mat,Wikivu,379.01
Blueberry Muffin Mix,Babblestorm,774.24
Jennifer's Amazing Lip Balm Kit,Flashspan,414.68
Ranch Dressing,Yambee,873.16
Reusable Produce Bags Set,Podcat,141.83
Coconut Water,Meemm,67.18
Organic Coconut Water,Buzzbean,282.23
Portable Massage Table,Voonder,748.74
Turmeric Ginger Tea,Photobean,353.58
Wooden Kitchen Utensil Set,Eayo,602.34
Wall Decals for Kids,Realblab,666.02
Portable Blender,Avamba,532.12
Chili Lime Seasoning,Photobean,348.31
Asian Stir-Fry Kit,Twitterworks,868.9
Electric Opener for Jars and Bottles,Voomm,285.14
Handheld Vacuum,Realmix,314.83
Legging Pants,Flipstorm,362.63
Shredded Cheese,Pixope,11.13
Jigsaw Puzzle,Gabcube,200.97
Baked Falafel,Topicblab,540.02
Smart Plant Monitor,Voonyx,627.88
Casual Sneakers,Lajo,969.44
Classic Slim Fit Shirt,Yamia,754.91
LED Flashlight with Rechargeable Batteries,Bubblemix,951.72
Roasted Garlic Mashed Potatoes,Flashspan,971.02
Almond Butter,Browsedrive,355.81
Basmati Rice,Realcube,758.4
LED Flashlight with Rechargeable Batteries,Oyope,91.82
Reusable Coffee Filter,JumpXS,606.86
Weighted Jump Rope,Yamia,397.95
Hand Mixer,Photobug,943.64
Roasted Garlic Aioli,Edgeclub,609.52
Dark Chocolate Covered Almonds,Katz,517.61
Digital Food Scale,Topicshots,1.48
Camera Tripod,Zoonoodle,188.79
Roasted Red Pepper Hummus,Zoonoodle,617.13
Customizable Photo Calendar,Kaymbo,792.61
Savory Trail Mix,Eidel,320.03
Cheesy Cauliflower Bake,Thoughtmix,120.38
Artisan Bread Loaf,Trupe,953.41
Raspberry Lemonade Mix,Aimbo,971.71
Grass Fed Beef Patties,Fivebridge,739.64
USB Flash Drive,Brainsphere,148.29
Kitchen Scale,Feednation,264.48
Self-Inflating Camping Mattress,Aimbo,500.63
Vegan Chocolate Cake Mix,Minyx,342.08
Sweet Pea Hummus,Muxo,706.73
Roasted Garlic,Twinder,492.75
Sliced Ham,Livefish,978.49
Portable Air Purifier,Kare,156.76
Infrared Thermometer,Skibox,505.55
Multi-Purpose Plant Care Tool,Jaxworks,975.68
Crew Neck Sweater,Oba,774.77
Chiffon Blouse,Shufflester,82.64
Savory Oats,Mudo,224.93
Garlic Parmesan Roasted Potatoes,Quamba,918.57
Faux Fur Coat,Innojam,911.72
Legging Pants,Skinix,359.21
Mixed Berry Smoothie Pack,Skilith,311.23
Buttermilk Pancakes,Quimba,624.47
Dog Training Whistle,Fliptune,50.36
Kettle Corn Popcorn,Yacero,795.82
V-Neck Sweater,Zoomzone,788.57
Adjustable Laptop Desk,Browsetype,484.53
Organic Fruit Salad,Zoombox,681.39
Sweet Chili Dipping Sauce,Brightbean,723.8
Smartphone Holder for Car,Jaxbean,43.34
Over-the-Door Hooks,Lajo,423.08
Vintage Graphic Tee,Pixope,727.43
Cinnamon Sugar Popcorn,Meemm,762.36
Italian Sausage and Peppers,Meetz,437.74
Scented Soy Candles,Photojam,734.55
Spinach Artichoke Dip,Jaxspan,630.06
Fridge Magnet Set,Brainbox,525.93
Silicone Ice Cube Tray,Mycat,107.55
Electric Bike,Pixope,352.68
Miso Soup Mix,Jaxnation,244.43
Cocktail Shaker and Mixing Glass Set,Shufflebeat,661.41
Self-Massaging Pillow,Jabbercube,544.94
Cucumber Relish,Trilia,80.77
Maple Cinnamon Granola Bars,Jayo,763.27
Ethical Wool Scarf,Tekfly,783.81
Sketchbook,Feednation,780.88
Mini Waffle Maker,Mynte,379.06
Magnetic Screen Door,Brightbean,997.07
Spinach and Feta Stuffed Chicken Breast,Youbridge,314.72
Hair Dryer,Tekfly,617.94
Peanut Butter Chocolate Chip Bars,Kimia,426.05
Customizable Wall Calendar,Dabjam,760.07
Portable Bluetooth Keyboard,Gevee,373.22
Cranberry Citrus Sauce,Centimia,263.79
Canvas Tote Bag,Browseblab,234.07
Non-Stick Grill Pan,Izio,463.01
Spinach and Feta Wraps,Jayo,61.14
Jump Rope with Counter,Skiba,841.91
Smart Light Bulbs,Buzzdog,833.58
Chili Lime Corn Chips,Fivespan,417.99
Sea Salt Caramel Popcorn,Voonte,767.06
Electrolyte Water Bottle,BlogXS,26.0
Peanut Butter Protein Balls,Oyonder,416.41
Sweet Pea Hummus,Feedfish,329.4
Decorative Throw Pillows,Zoomzone,227.59
Digital Photo Frame,Ozu,485.87
Multi-Port USB Hub,Jaloo,94.63
Portable Bluetooth Headphones,Plajo,281.97
Compact Hair Dryer,Jetpulse,328.56
Banana Peanut Butter Smoothie,Meejo,35.12
Organic Tomato Ketchup,Vipe,82.71
Travel Mug with Leak-Proof Lid,Eayo,876.08
Electric Screwdriver,Myworks,901.02
Himalayan Pink Salt,Pixonyx,911.96
Coconut Cream,Twitternation,967.37
Telescope,Twitterbeat,474.04
Lightweight Rain Jacket,Jaloo,473.48
Classic Leather Wallet,Katz,226.98
Organic Coconut Oil,Divanoodle,288.42
Fitness Mat,Rooxo,695.39
Portable Bluetooth Keyboard,Dazzlesphere,156.78
High-Quality Yoga Block,Rhyloo,763.13
Memory Foam Mattress Pad,Dabtype,2.93
Cheddar & Bacon Potato Skins,Jaxworks,436.18
Sweet Potato Tots,Babblestorm,667.1
Kombucha Drink,Flipstorm,382.71
Fire Roasted Salsa,Quire,250.34
Jigsaw Puzzle,Oyondu,822.64
Hydration Backpack,Thoughtblab,176.52
Almond Coconut Granola,Youopia,955.18
Almond Butter,Innotype,622.8
Oven-Baked Cheese Crisps,Thoughtbeat,578.12
Pumpkin Spice Pancake Mix,Kazio,535.34
Gardening Gloves with Claws,Kimia,7.42
Fruit and Nut Energy Bites,Kamba,41.03
Baked Falafel Balls,Geba,817.12
Kids' Gardening Kit,Jabbertype,912.26
Fridge Magnet Set,Wikido,164.37
Crispy Potato Tots,Realbuzz,547.59
Almond Flour Pizza Crust,Fivespan,895.22
Peach Slices in Syrup,Kwideo,663.04
Handmade Soap Making Kit,Brightbean,191.4
Noise Reduction Headphones,Katz,251.43
Cabbage,Trudeo,700.85
Smartwatch,Zoombeat,781.92
Portable Bluetooth Speaker,Babbleset,473.45
Basil Pesto Pasta,Bluezoom,937.13
Essential Oil Diffuser,Jaloo,591.63
Carrot and Celery Sticks,Yakidoo,898.75
Portable Projector,Eamia,856.18
Mixed Nuts,Tambee,321.54
Set of Herb Garden Markers,Oyonder,169.49
Leather Notebook Cover,Fanoodle,958.54
Dog Training Whistle,Kazio,51.44
Classic Pesto Sauce,Meevee,154.56
Chickpea Pasta,Gigazoom,8.65
Coconut Macaroons,Skilith,228.77
Cacao Powder,Kwimbee,951.84
Cheddar & Bacon Potato Skins,Edgeify,134.64
Artisan Bread Loaf,Divanoodle,172.78
Classic Leather Wallet,Kazio,283.82
Almond Flour Biscuits,Minyx,756.92
Chocolate Peanut Butter Cups,Brainverse,556.8
Pineapple Coconut Rice Mix,Photospace,884.13
Camera Tripod,Twinder,487.33
Smart Thermostat with Wi-Fi,Eamia,448.45
Kale Chips,Aivee,594.23
Asian Noodle Salad Kit,Feedfish,949.74
Cinnamon Raisin Bread,BlogXS,72.85
Self-Inflating Camping Mattress,Flipopia,125.61
Fresh Strawberries,Skalith,303.67
Cranberry Juice,Brightbean,772.08
Spicy Roasted Nuts,Jabbertype,708.5
Vegetable Medley,Yombu,491.34
Decorative LED Neon Sign,Realbuzz,363.16
Tomato Basil Soup,Twimbo,175.56
Craft Beer Mustard,Podcat,206.6
Ultraviolet Phone Sanitizer,Devcast,4.19
Mini Cordless Vacuum Cleaner,Zoonoodle,319.89
Dark Chocolate Bars,Photojam,451.63
Fettuccine Alfredo Dinner Kit,Livepath,67.32
Coconut Almond Granola,Bubblebox,294.83
Travel Size Toiletry Bottles,Rhynoodle,355.14
Collapsible Water Bottle,Twitternation,328.63
Outdoor Camping Hammock,Jaloo,510.7
Frozen Acai Bowl,Meevee,781.16
Cinnamon Apple Sauce,Demizz,324.06
Pineapple Coconut Yogurt,Oodoo,691.03
Garden Hoses with Expandable Features,Oodoo,830.62
